stop_id,name,minutes,why
940GZZLUBNK,Bank,5,long passages between the Northern and Central/W&C/DLR
940GZZLUMMT,Monument,5,joined to Bank
940GZZLUGPK,Green Park,5,long passage between Jubilee and Victoria/Piccadilly
940GZZLUOXC,Oxford Circus,3,Bakerloo/Victoria cross-platform one way; Central further
940GZZLUPAH,Paddington (H&C),3,a separate station across the main line concourse
940GZZLUCYF,Canary Wharf,3,single line; the time is to the DLR and Elizabeth line
940GZZLULSQ,Leicester Square,3,Northern/Piccadilly
940GZZLUWSM,Westminster,4,deep Jubilee under sub-surface
940GZZLUECT,Earl's Court,3,District/Piccadilly
940GZZLUHSC,Hammersmith (H&C),3,a separate station from the District/Piccadilly one
